,Unnamed: 0,Name,Location,city_coord,lat,long
73,73,First City Diagnosis,"First City Diagnosis. Plot 3, Jerry Iriabe Street, Lekki Phase 1. Lagos","(6.45035, 3.47513)",6.45035,3.47513
74,74,First Graceland Hospital,"First Graceland Hospital. KM 34, Lagos – Epe Expressway, Abijo Ajah. Lagos","(6.46962, 3.56287)",6.46962,3.56287
75,75,Germaine Health Centre,"Germaine Health Centre. KM 63, Lagos – Epe Expressway, 2nd Roundabout, Lekki. Lagos","(6.41222, 4.0947)",6.41222,4.0947
76,76,Jjaned Specialist Hospital,"Jjaned Specialist Hospital. 3, Jerry Nwakobi Street, by Lekki Gardens Phase 2 Lagos","(6.41222, 4.0947)",6.41222,4.0947
77,77,Mazaf Medical Centre,"Mazaf Medical Centre. plot 30, mopo road, lekki epe exp. Lagos","(6.435416618407, 3.499546115814)",6.435416618407,3.499546115814
78,78,Olive Multispecialist Hospital,"Olive Multispecialist Hospital. 6 The Rock Dr, Lekki Phase 1. Lagos","(6.43992, 3.46967)",6.43992,3.46967
79,79,St. Edwards Specialist Hospital,"Edwards Specialist Hospital. 80, Addo Road, Ajah. Lagos","(6.47314, 3.56531)",6.47314,3.56531
80,80,The Royal Infirmary,"The Royal Infirmary. Along Addo – Badore Road, Badore. Lagos","(6.43333, 3.85)",6.43333,3.85
81,81,Pine Crest Specialist Hospital,"Pine Crest Specialist Hospital. 83, Makinde Street, Mafoluku. Lagos","(6.558835880835, 3.333905204454)",6.558835880835,3.333905204454
82,82,Magodo Specialist Hospital,"Magodo Specialist Hospital. 10, Jaiye Oyedotun Street, Magodo GRA. Lagos","(6.517390011119, 3.22928996907)",6.517390011119,3.22928996907
83,83,Queens Specialist Hospital,"Queens Specialist Hospital. 3B, CMD Road, Magodo GRA. Lagos","(6.61885, 3.36569)",6.61885,3.36569
84,84,Eko Hospital,"Eko Hospital. Mobolaji Bank Anthony Way, Ikeja. Lagos","(6.58703, 3.35708)",6.58703,3.35708
85,85,Mount Sinai Hospital,"Mount Sinai Hospital.32, Olunubi Street, Papa Ajao, Mushin. Lagos","(6.53592, 3.33998)",6.53592,3.33998
86,86,The Health Arena Specialist Hospital,"The Health Arena Specialist Hospital. 12B, Strachan Street, Beside MRS Filling Station, Obalende. Lagos","(6.44887, 3.40408)",6.44887,3.40408
87,87,Osuntuyi Medical Centre,"Osuntuyi Medical Centre. 9, Alhaji Salisu Street, Obanikoro. Lagos","(6.54984, 3.36978)",6.54984,3.36978
88,88,Blue Cross Hospital,"Blue Cross Hospital. 48, Ijaiye Road, Ogba. Lagos","(6.63211, 3.34025)",6.63211,3.34025
89,89,County Hospital,"County Hospital. 43 – 45, Isheri Road, Aguda, Ogba. Lagos","(6.639091100431, 3.359757776332)",6.639091100431,3.359757776332
90,90,Fanimed Hospital,"Fanimed Hospital. Block 210, Lily Road, LSDPC Estate, Phase 4, Ogba. Lagos","(6.6288, 3.3379)",6.6288,3.3379
91,91,Isalu Hospitals Ltd,"Isalu Hospitals Ltd. 349B, Odusami Street, Off Wempco Road, Ogba. Lagos","(6.630540004294, 3.346650024572)",6.630540004294,3.346650024572
92,92,Alheri Hospital,"Alheri Hospital. 10, Ojodu Abiodun Kosoko Road, Berger Bus Stop, Ojodu. Lagos","(6.64427, 3.36407)",6.64427,3.36407
93,93,Royan Hospital,"Royan Hospital. 72, Aina Street, Ojodu. Lagos","(6.6444, 3.36396)",6.6444,3.36396
94,94,St. Mary’s Specialist Hospital,"St. Mary’s Specialist Hospital. Plot 456, Titilayo Adedoyin Street, Omole Phase 1, Ojodu. Lagos","(6.63174, 3.36177)",6.63174,3.36177
95,95,St. Timothy hospital,"St. Timothy hospital. 16,Otunba Street, Yakoyo, Ojodu. Lagos","(6.649408743003, 3.357854969571)",6.649408743003,3.357854969571
96,96,Longing Medical Centre,"Longing Medical Centre. 1, Joseph Close, Ajawa Bus Stop, Ijaiye Ojokoro. Lagos","(6.6636, 3.28949)",6.6636,3.28949
97,97,St. Anthony’s Hospital,St. Anthony’s Hospital. 123 Adesina street off seriki road. Lagos,"(6.641098848528, 3.310317501577)",6.641098848528,3.310317501577
98,98,Ameso Specialist Hospital,"Ameso Specialist Hospital. 7, Jumat Olukoya Street, Ojota. Lagos","(6.58675, 3.38461)",6.58675,3.38461
99,99,Inland Hospital,"Inland Hospital. 153, Ogudud Road, GRA, Ogudu. Lagos","(6.57519999732, 3.392259983063)",6.57519999732,3.392259983063
100,100,Nimbus Medical Centre,"Nimbus Medical Centre. 6, Kolaiyaomolere Street, Orioke, Ogudu. Lagos","(6.56947, 3.3952)",6.56947,3.3952
101,101,Kiladejo Hospital,"Kiladejo Hospital. 15, PPL Road, Okokomaiko. Lagos","(6.46421, 3.1822)",6.46421,3.1822
102,102,Samaria Hospital,"Samaria Hospital. 17, Debo Bashorun Street, Ago way, Okota. Lagos","(6.51056, 3.311)",6.51056,3.311
103,103,Dako Medical Centre,"Dako Medical Centre. 185, Muyibi Street, 2nd Benue Bus Stop, By God De Cinema, Olodi Apapa. Lagos","(6.447800255729, 3.335819682111)",6.447800255729,3.335819682111
104,104,Fasanmi Clinic & Maternity,"Fasanmi Clinic & Maternity. 5/7, Olori Street, Sogunle, Oshodi.Lagos","(6.57462, 3.34251)",6.57462,3.34251
105,105,Ultima Medical Hospital,"Ultima Medical Hospital. 3, CAPPA Avenue, Palmgrove Estate. Lagos","(6.540650001979, 3.364367987376)",6.540650001979,3.364367987376
106,106,Cornell Health Limited,"Cornell Health Limited. 14, Fred Anyiam Street, Off Adelabu Street, Surulere. Lagos","(6.499220014782, 3.350070008705)",6.499220014782,3.350070008705
107,107,Eko Hospital,"Eko Hospital. 34, Akerele road, Surulere. Lagos","(6.503751900004, 3.357488790933)",6.503751900004,3.357488790933
108,108,Good Faith Clinics,"Good Faith Clinics. 1, Akindelu Street, Ikate Surulere. Lagos","(6.50751, 3.34427)",6.50751,3.34427
109,109,Havana Specialist Ltd,"Havana Specialist Ltd. 115, Akerele Extention, Surulere. Lagos","(6.50296, 3.35952)",6.50296,3.35952
110,110,Lifeline Children’s Hospital,"Lifeline Children’s Hospital. 133, Ogunlano Drive, Marshall Bus Stop, Suruelere. Lagos","(6.50357, 3.35167)",6.50357,3.35167
111,111,Mount Sinai Hospital,"Mount Sinai Hospital. 30 Falodun Street, off Itire Lawason road, Surulere. Lagos","(6.501680019545, 3.387220028502)",6.501680019545,3.387220028502
112,112,Olaniba Memorial Hospital,"Olaniba Memorial Hospital. 10A, Olatunde Onimole Street, Aguda, Surulere. Lagos","(6.492339981018, 3.346839958498)",6.492339981018,3.346839958498
113,113,Optimal Specialist Hospital,"Optimal Specialist Hospital. 9, Gbaja Street, Surulere. Lagos","(6.5037, 3.35977)",6.5037,3.35977
114,114,Parklande Specialist Hospital,"Parklande Specialist Hospital. 13, Rasaq Balogun Street, Off Adebola Street, Surulere. Lagos","(6.497359986649, 3.360229965001)",6.497359986649,3.360229965001
115,115,Royal Specialist Hospital,"Royal Specialist Hospital. 11, Olubunmi Alonge Street, Pako Bus/Stop, Aguda, Surulere, Lagos","(6.4968, 3.33439)",6.4968,3.33439
116,116,Smith Medical Centre,"Smith Medical Centre. 3, Eniasoro Beyioku Street, Off Ajao Road, Off Ogunlana Drive, Surulere. Lagos","(6.509795031187, 3.351997511568)",6.509795031187,3.351997511568
117,117,Supreme Health Hospital,"Supreme Health Hospital. 45/47, Karimu Street, Off Itire Laqwanson Road, Surulere. Lagos","(6.509170004404, 3.359439970627)",6.509170004404,3.359439970627
118,118,Topaz Clinic,"Topaz Clinic. 12, Adeniyi Street, Off Itire Road, Surulere. Lagos","(6.500739989104, 3.38185996906)",6.500739989104,3.38185996906
119,119,Faith City Hospital,"Faith City Hospital. 29A, Ojuolobun Street, Victoria Island. Lagos","(6.42413, 3.41529)",6.42413,3.41529
120,120,Healing Stripes Hospital,"Healing Stripes Hospital 6B, Alaba Oniru Way, Vicoria Island. Lagos","(6.45951, 3.32362)",6.45951,3.32362
121,121,Kleinburg Medical Centre,"Kleinburg Medical Centre. 4, Adeola Odeku Street, Vicoria Island. Lagos","(6.430613973244, 3.413388897377)",6.430613973244,3.413388897377
122,122,Paelon Clinic,Paelon Clinic. 1221 Ahmadu Bello Way. Vicoria Island. Lagos,"(6.442259167596, 3.400852941739)",6.442259167596,3.400852941739
123,123,Premier Specialist Hospital,"Premier Specialist Hospital. 7, Ogalade Close, Off Ologun Agbaje Street, Victoria Island. Lagos","(6.425289994304, 3.416489969667)",6.425289994304,3.416489969667
124,124,Reddington Hospital,",Reddington Hospital. 12, Idowu Martins Street, Victoria Island. Lagos","(6.43331, 3.42015)",6.43331,3.42015
125,125,Royal Saint ENT clinic,"Royal Saint ENT clinic. 21,Kasumu Ekemode street off Saka Tinubu Street, Victoria Island. Lagos","(6.427040009958, 3.422150017425)",6.427040009958,3.422150017425
126,126,St. Nicholas Hospital,"Nicholas Hospital, 7B, Etim Inyang Crescent, Victoria Island. Lagos","(6.433149998278, 3.435974752806)",6.433149998278,3.435974752806
